player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,now_cost,selected_by_percent
362,189743,Victor,Wernersson,Wernersson,,29,6211,Västerås SK,VSK,2,DEF,a,,775,0,0,1,16,0,0,0,2,0,0,0,4,0,2,104,22,44,0.3
363,692744,Philip,Bonde,Bonde,,29,6211,Västerås SK,VSK,2,DEF,a,,914,2,0,3,16,0,0,0,0,0,0,0,4,1,4,103,47,44,1.3
364,441668,Frédéric,Nsabiyumva,Nsabiyumva,,29,6211,Västerås SK,VSK,2,DEF,i,Skadad.,650,1,0,1,14,0,0,0,1,0,0,0,10,0,0,115,29,44,2.2
365,610401,Marcus,Baggesen,Baggesen,,29,6211,Västerås SK,VSK,2,DEF,a,,825,1,5,4,16,0,0,0,0,0,0,6,4,0,15,94,63,48,11.0
366,644620,Herman,Magnusson,H. Magnusson,,29,6211,Västerås SK,VSK,2,DEF,a,,1240,1,0,4,23,0,0,0,2,0,0,0,19,0,4,205,59,43,26.8
367,673065,Jack,Tagesson,Tagesson,,29,6211,Västerås SK,VSK,2,DEF,a,,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5,39,0.7
368,731635,Melvin,Ljungqvist,Ljungqvist,,29,6211,Västerås SK,VSK,2,DEF,a,,84,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,7,40,0.4
369,624708,Liiban,Abadid,Abadid,,29,6211,Västerås SK,VSK,2,DEF,n,Utlånad till Nordic United FC t.o.m. 31 juli.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.1
370,665588,Leonardo,Bark,Bark,,29,6211,Västerås SK,VSK,2,DEF,a,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,39,0.8
371,693500,Axel,Taonsa,Taonsa,,29,6211,Västerås SK,VSK,3,MID,a,,845,6,0,4,13,0,0,0,2,0,0,2,5,2,10,75,62,58,2.9
372,157795,Jonathan,Ring,Ring,,29,6211,Västerås SK,VSK,3,MID,i,Skadad.,440,0,1,2,9,0,0,0,0,1,0,3,2,0,9,52,19,52,0.4
373,660509,Karl,Gunnarsson,Gunnarsson,,29,6211,Västerås SK,VSK,3,MID,a,,883,2,3,4,14,0,0,0,1,0,0,4,2,0,12,66,52,49,0.5
374,479613,Ismet,Lushaku,Lushaku,,29,6211,Västerås SK,VSK,3,MID,a,,706,0,4,3,10,0,0,0,1,0,0,4,6,0,11,89,42,49,0.7
375,570463,Lucas,Sibelius,Sibelius,,29,6211,Västerås SK,VSK,3,MID,u,Utlånad till Varbergs BoIS.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,48,0.0
376,592519,Mamadou,Diagne,Diagne,,29,6211,Västerås SK,VSK,3,MID,a,,1175,0,1,4,21,0,0,0,1,0,0,1,9,0,12,146,43,50,0.6
377,588947,Mattias,Hellisdal,Hellisdal,,29,6211,Västerås SK,VSK,3,MID,a,,271,0,0,0,7,0,0,0,0,0,0,0,0,0,3,21,12,44,0.1
378,652991,Jens,Magnusson,J. Magnusson,,29,6211,Västerås SK,VSK,3,MID,a,,292,1,1,0,8,0,0,0,1,0,0,0,0,0,4,17,18,44,0.2
379,586601,Mikkel,Ladefoged,Ladefoged,,29,6211,Västerås SK,VSK,4,FWD,a,,1037,9,3,3,20,0,0,1,3,0,0,3,0,2,10,59,79,67,27.9
380,707272,Moussa,Diallo,Diallo,,29,6211,Västerås SK,VSK,4,FWD,i,Skadad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2.0
381,531037,Abdelrahman,Boudah,Boudah,,29,6211,Västerås SK,VSK,4,FWD,a,,442,0,1,0,11,0,0,0,0,0,0,2,1,0,5,41,18,56,3.7
382,523952,Mergim,Krasniqi,Krasniqi,,30,670,GAIS,GAIS,1,GK,a,,900,0,0,5,7,0,0,0,0,0,24,0,0,0,2,95,53,54,7.3
383,615312,Kees,Sims,Sims,,30,670,GAIS,GAIS,1,GK,d,Klev av träning.,180,0,0,0,4,0,0,0,0,0,5,0,0,0,1,28,4,48,0.7
384,601364,Andreas,Hermansen,Hermansen,,30,670,GAIS,GAIS,1,GK,i,Skadad.,270,0,0,1,4,0,0,0,0,0,11,0,0,0,0,32,13,49,0.3
385,647468,Robin,Wendin Thomasson,Wendin Thomasson,,30,670,GAIS,GAIS,2,DEF,s,Avstängd GW15.,443,0,0,1,6,0,0,0,3,0,0,2,1,0,8,44,15,54,0.3
386,446356,August,Wängberg,Wängberg,,30,670,GAIS,GAIS,2,DEF,a,,1047,0,0,5,10,0,0,0,0,0,0,0,11,0,4,128,52,54,18.3
387,479749,Oskar,Ågren,Ågren,,30,670,GAIS,GAIS,2,DEF,a,,936,0,0,4,10,0,0,0,3,0,0,0,12,0,3,146,45,55,2.5
388,548963,Robin,Frej,Frej,,30,670,GAIS,GAIS,2,DEF,a,,987,0,0,2,15,0,0,0,2,0,0,0,10,0,3,133,37,52,4.1
389,437691,Matteo,de Brienne,de Brienne,,30,670,GAIS,GAIS,2,DEF,a,,766,0,1,4,7,0,0,0,1,0,0,4,8,0,11,127,49,54,2.6
390,591975,Anes,Cardaklija,Cardaklija,,30,670,GAIS,GAIS,2,DEF,a,,784,1,0,6,7,0,0,0,1,0,0,0,7,0,2,113,54,52,4.6
391,644545,Filip,Beckman,Beckman,,30,670,GAIS,GAIS,2,DEF,a,,556,0,0,3,6,0,0,0,2,0,0,0,6,0,2,91,31,48,1.0
392,570835,Gustav,Lundgren,Lundgren,,30,670,GAIS,GAIS,3,MID,i,Skadad.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3.5
393,687441,Rasmus,Niklasson Petrovic,Niklasson Petrovic,,30,670,GAIS,GAIS,3,MID,d,Känning i baksidan.,1138,2,3,6,13,0,0,0,0,0,0,7,0,1,20,63,60,74,3.2
394,570319,Max,Andersson,Andersson,,30,670,GAIS,GAIS,3,MID,a,,752,2,1,6,5,0,0,0,0,0,0,4,0,1,13,38,46,59,0.4
395,470084,Kevin,Holmén,Holmén,,30,670,GAIS,GAIS,3,MID,i,Skadad.,90,0,0,0,1,0,0,0,1,0,0,1,1,0,2,13,3,56,1.1
396,692517,Blessing,Dankwah,Blessing,,30,670,GAIS,GAIS,3,MID,a,,122,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,6,52,0.0
397,570546,Henry,Sletsjøe,Sletsjøe,,30,670,GAIS,GAIS,3,MID,a,,568,2,0,2,6,0,0,0,2,0,0,3,0,0,8,54,27,52,0.1
398,549415,Róbert,Frosti Thorkelsson,Frosti Thorkelsson,,30,670,GAIS,GAIS,3,MID,a,,1160,3,3,6,11,0,0,0,1,0,0,12,4,2,32,97,74,59,9.3
